Order ID,Order Date,Year,Country,Region,Category,Product,Customer Segment,Units,Revenue,Cost,Profit,Profit Margin
ORD-10041,2024-05-17,2024,Brazil,South America,Office Supplies,Printer Paper,Home Office,55,3073.47,2458.47,615.01,0.20010131133507655
ORD-10042,2024-06-20,2024,Brazil,South America,Office Supplies,Pens,Consumer,80,4548.98,3856.18,692.81,0.15229899531768676
ORD-10043,2024-07-19,2024,Brazil,South America,Technology,Smartphone,Corporate,30,15740.04,11043.83,4696.22,0.29836104921658224
ORD-10044,2024-08-17,2024,Brazil,South America,Office Supplies,Printer Paper,Home Office,25,1783.98,1427.11,356.87,0.20004067471494702
ORD-10045,2024-09-13,2024,Brazil,South America,Furniture,Bookshelf,Consumer,100,29138.96,23350.73,5788.23,0.19864231431390153
ORD-10046,2024-10-01,2024,Brazil,South America,Technology,Monitor,Corporate,55,28691.13,18870.5,9820.63,0.34228811449337876
ORD-10047,2024-11-12,2024,Brazil,South America,Furniture,Office Chair,Consumer,83,17997.68,14365.31,3632.36,0.2018240497700482
ORD-10048,2024-12-23,2024,Brazil,South America,Technology,Smartphone,Corporate,51,17187.74,11514.94,5672.8,0.33004939455677684
ORD-10049,2024-01-04,2024,Argentina,South America,Furniture,Office Chair,Home Office,119,19430.37,14731.9,4698.47,0.24181072473232934
ORD-10050,2024-02-10,2024,Argentina,South America,Technology,Monitor,Consumer,28,8153.93,6452.58,1701.35,0.20865374917299884
ORD-10051,2024-03-09,2024,Argentina,South America,Office Supplies,Pens,Home Office,58,2200.46,1834.94,365.51,0.1661085550662096
ORD-10052,2024-04-09,2024,Argentina,South America,Office Supplies,Desk Organizer,Corporate,21,735.71,632.1,103.61,0.14082909270764718
ORD-10053,2024-05-06,2024,Argentina,South America,Technology,Laptop,Corporate,113,22805.73,15791.24,7014.49,0.3075757544594604
ORD-10054,2024-06-03,2024,Argentina,South America,Office Supplies,Desk Organizer,Home Office,105,4597.7,4178.57,419.13,0.09116036395300071
ORD-10055,2024-07-05,2024,Argentina,South America,Office Supplies,Pens,Home Office,19,1033.75,868.45,165.3,0.15990114797877528
ORD-10056,2024-08-28,2024,Argentina,South America,Furniture,Desk,Consumer,54,7889.06,5980.14,1908.92,0.2419705612624785
ORD-10057,2024-09-25,2024,Argentina,South America,Technology,Monitor,Consumer,102,22355.47,17832.17,4523.3,0.20233523460061414
ORD-10058,2024-10-28,2024,Argentina,South America,Office Supplies,Desk Organizer,Home Office,110,4032.47,3219.58,812.89,0.20158572188324092
ORD-10059,2024-11-26,2024,Argentina,South America,Technology,Smartphone,Corporate,18,3760.48,2628.8,1131.67,0.3009384754289854
ORD-10060,2024-12-28,2024,Argentina,South America,Furniture,Desk,Corporate,35,6451.96,5529.51,922.45,0.14297147516835484
ORD-10061,2024-01-10,2024,United Kingdom,Europe,Technology,Headphones,Consumer,40,24997.43,17867.25,7130.18,0.28523638816147306
ORD-10062,2024-02-28,2024,United Kingdom,Europe,Technology,Smartphone,Consumer,99,43203.84,31565.1,11638.75,0.26939143414372474
ORD-10063,2024-03-27,2024,United Kingdom,Europe,Technology,Monitor,Corporate,97,51608.29,35530.13,16078.16,0.31154217420323155
ORD-10064,2024-04-19,2024,United Kingdom,Europe,Office Supplies,Binders,Consumer,29,3330.94,2793.51,537.43,0.16134582356682525
ORD-10065,2024-05-11,2024,United Kingdom,Europe,Furniture,Office Chair,Consumer,91,28696.88,21309.57,7387.31,0.25742540727832447
ORD-10066,2024-06-14,2024,United Kingdom,Europe,Furniture,Office Chair,Corporate,88,23723.28,19563.96,4159.32,0.17532638404558776
ORD-10067,2024-07-11,2024,United Kingdom,Europe,Technology,Smartphone,Corporate,70,27941.21,19287.58,8653.63,0.3097085221893527
ORD-10068,2024-08-10,2024,United Kingdom,Europe,Office Supplies,Binders,Home Office,30,3191.0,2661.17,529.83,0.16603867218535168
ORD-10069,2024-09-07,2024,United Kingdom,Europe,Office Supplies,Desk Organizer,Corporate,66,6939.85,5575.97,1363.89,0.1965294973200152
ORD-10070,2024-10-10,2024,United Kingdom,Europe,Furniture,Storage Cabinet,Home Office,110,44330.57,33520.04,10810.53,0.24386178991416568
ORD-10071,2024-11-20,2024,United Kingdom,Europe,Furniture,Office Chair,Corporate,51,13940.66,10256.27,3684.39,0.26429105929730956
ORD-10072,2024-12-16,2024,United Kingdom,Europe,Office Supplies,Binders,Corporate,71,6487.74,5477.96,1009.78,0.15564416811869194
ORD-10073,2024-01-20,2024,Germany,Europe,Office Supplies,Pens,Home Office,25,2156.89,1704.67,452.22,0.20966246035659988
ORD-10074,2024-02-05,2024,Germany,Europe,Furniture,Office Chair,Consumer,101,30732.46,22533.42,8199.04,0.2667875473491519
ORD-10075,2024-03-15,2024,Germany,Europe,Technology,Laptop,Consumer,75,43972.6,29803.8,14168.79,0.3222187206800235
ORD-10076,2024-04-05,2024,Germany,Europe,Furniture,Desk,Home Office,104,33137.08,25914.58,7222.5,0.2179583435451845
ORD-10077,2024-05-23,2024,Germany,Europe,Office Supplies,Printer Paper,Consumer,114,10741.87,9118.71,1623.17,0.1511064018047839
ORD-10078,2024-06-15,2024,Germany,Europe,Office Supplies,Desk Organizer,Consumer,86,7252.37,5571.27,1681.1,0.23180036168219917
ORD-10079,2024-07-25,2024,Germany,Europe,Technology,Headphones,Home Office,82,57804.76,40379.27,17425.49,0.3014542782163303
ORD-10080,2024-08-16,2024,Germany,Europe,Furniture,Storage Cabinet,Home Office,72,30146.8,22331.59,7815.22,0.2592386530591502
ORD-10081,2024-09-16,2024,Germany,Europe,Furniture,Bookshelf,Consumer,96,28591.27,21062.59,7528.68,0.2633209802400766
ORD-10082,2024-10-09,2024,Germany,Europe,Office Supplies,Pens,Corporate,71,5301.64,4430.64,870.99,0.16428737810357832
ORD-10083,2024-11-23,2024,Germany,Europe,Furniture,Bookshelf,Home Office,25,6768.32,5429.88,1338.45,0.19775137756738245
ORD-10084,2024-12-14,2024,Germany,Europe,Technology,Smartphone,Consumer,68,35505.78,25027.55,10478.23,0.2951133368604698
ORD-10085,2024-01-23,2024,France,Europe,Technology,Smartphone,Corporate,64,38228.56,26756.57,11471.99,0.300089529704507
ORD-10086,2024-02-13,2024,France,Europe,Technology,Headphones,Corporate,15,9117.42,6693.7,2423.72,0.265833518284686
ORD-10087,2024-03-13,2024,France,Europe,Furniture,Desk,Corporate,43,11237.44,8672.19,2565.25,0.22827703925582002
ORD-10088,2024-04-20,2024,France,Europe,Furniture,Storage Cabinet,Home Office,36,12914.31,9293.85,3620.46,0.28034499448027717
ORD-10089,2024-05-21,2024,France,Europe,Office Supplies,Printer Paper,Corporate,90,8083.12,7006.02,1077.09,0.13325224556083748
ORD-10090,2024-06-07,2024,France,Europe,Furniture,Desk,Corporate,38,8478.9,6651.76,1827.14,0.21549246370257677
ORD-10091,2024-07-27,2024,France,Europe,Furniture,Bookshelf,Corporate,112,40929.98,32605.2,8324.78,0.20339079387665673
ORD-10092,2024-08-12,2024,France,Europe,Furniture,Bookshelf,Consumer,75,16336.96,12502.18,3834.78,0.2347302857507041
ORD-10093,2024-09-07,2024,France,Europe,Technology,Laptop,Home Office,20,11111.47,7289.64,3821.83,0.3439534079259187
ORD-10094,2024-10-07,2024,France,Europe,Technology,Smartphone,Consumer,31,14810.9,11201.09,3609.81,0.24372673353311683
ORD-10095,2024-11-23,2024,France,Europe,Furniture,Bookshelf,Corporate,36,11464.96,8190.02,3274.95,0.2856481692921451
ORD-10096,2024-12-19,2024,France,Europe,Technology,Smartphone,Corporate,28,14193.52,9346.91,4846.61,0.3414664602088546
ORD-10097,2024-01-27,2024,Spain,Europe,Office Supplies,Desk Organizer,Corporate,106,5181.4,4139.67,1041.73,0.20105174334998224
ORD-10098,2024-02-20,2024,Spain,Europe,Office Supplies,Pens,Consumer,104,7098.91,5451.71,1647.2,0.23203518869065556
ORD-10099,2024-03-17,2024,Spain,Europe,Technology,Laptop,Corporate,83,26328.72,19102.31,7226.4,0.27446850514616666
ORD-10100,2024-04-12,2024,Spain,Europe,Office Supplies,Binders,Consumer,68,4756.0,4077.49,678.51,0.1426646644772798
ORD-10101,2024-05-21,2024,Spain,Europe,Office Supplies,Desk Organizer,Home Office,34,1934.1,1512.36,421.74,0.21805543648160694
ORD-10102,2024-06-11,2024,Spain,Europe,Furniture,Storage Cabinet,Corporate,70,17000.27,12901.55,4098.71,0.24109695428764422
ORD-10103,2024-07-20,2024,Spain,Europe,Technology,Laptop,Corporate,72,20328.49,14519.32,5809.17,0.2857650159923878
ORD-10104,2024-08-16,2024,Spain,Europe,Office Supplies,Desk Organizer,Corporate,18,1059.67,880.58,179.09,0.1690017001466512
ORD-10105,2024-09-09,2024,Spain,Europe,Technology,Monitor,Corporate,58,16768.12,11711.88,5056.23,0.3015386009524915
ORD-10106,2024-10-16,2024,Spain,Europe,Office Supplies,Printer Paper,Home Office,39,1758.0,1377.55,380.45,0.21640895969250323
ORD-10107,2024-11-26,2024,Spain,Europe,Office Supplies,Pens,Home Office,75,4799.0,3892.48,906.52,0.1888985602094304
ORD-10108,2024-12-22,2024,Spain,Europe,Technology,Laptop,Corporate,43,13445.32,9960.34,3484.98,0.25919661966521085
ORD-10109,2024-01-24,2024,Italy,Europe,Office Supplies,Binders,Corporate,85,5313.38,4563.87,749.51,0.14106045752462565
ORD-10110,2024-02-08,2024,Italy,Europe,Office Supplies,Binders,Corporate,104,6219.35,5430.77,788.58,0.12679475896185963
ORD-10111,2024-03-23,2024,Italy,Europe,Technology,Smartphone,Corporate,30,11751.62,8177.89,3573.73,0.30410530724721224
ORD-10112,2024-04-25,2024,Italy,Europe,Technology,Smartphone,Consumer,109,37155.27,26865.11,10290.16,0.2769502001311661
ORD-10113,2024-05-10,2024,Italy,Europe,Office Supplies,Binders,Consumer,39,2116.66,1834.49,282.16,0.13330572829792642
ORD-10114,2024-06-23,2024,Italy,Europe,Technology,Smartphone,Corporate,20,8744.15,6502.12,2242.03,0.256403076015833
ORD-10115,2024-07-15,2024,Italy,Europe,Technology,Headphones,Consumer,16,5736.61,4323.52,1413.09,0.24632763339166114
ORD-10116,2024-08-27,2024,Italy,Europe,Furniture,Desk,Consumer,47,12530.61,10183.28,2347.33,0.18732750247188262
ORD-10117,2024-09-05,2024,Italy,Europe,Technology,Headphones,Corporate,24,8618.86,6271.31,2347.56,0.27237412219072205
ORD-10118,2024-10-20,2024,Italy,Europe,Technology,Monitor,Consumer,46,12373.21,8887.27,3485.94,0.28173321343914326
ORD-10119,2024-11-28,2024,Italy,Europe,Office Supplies,Pens,Home Office,63,3760.35,3222.14,538.21,0.1431265204823193
ORD-10120,2024-12-24,2024,Italy,Europe,Office Supplies,Desk Organizer,Corporate,87,5713.56,4781.36,932.2,0.16315570946941566
ORD-10121,2024-01-08,2024,India,Asia,Technology,Smartphone,Home Office,42,22443.42,17062.78,5380.64,0.23974249585603807
ORD-10122,2024-02-16,2024,India,Asia,Technology,Laptop,Consumer,15,8776.87,6032.13,2744.74,0.3127245362941722
ORD-10123,2024-03-15,2024,India,Asia,Furniture,Office Chair,Consumer,51,21797.36,16253.01,5544.34,0.254358506971246
ORD-10124,2024-04-26,2024,India,Asia,Technology,Smartphone,Corporate,115,82817.5,57908.09,24909.41,0.30077475070463083
ORD-10125,2024-05-09,2024,India,Asia,Technology,Headphones,Consumer,84,43706.27,32872.42,10833.86,0.2478787281290396
ORD-10126,2024-06-27,2024,India,Asia,Technology,Laptop,Consumer,36,25943.02,18123.65,7819.36,0.30140528447832865
ORD-10127,2024-07-13,2024,India,Asia,Office Supplies,Binders,Corporate,30,3248.34,2707.52,540.82,0.16649094286537208
ORD-10128,2024-08-24,2024,India,Asia,Furniture,Storage Cabinet,Corporate,25,10090.28,7297.99,2792.29,0.27673074671509446
ORD-10129,2024-09-28,2024,India,Asia,Furniture,Bookshelf,Consumer,26,8397.92,6290.75,2107.17,0.25091580406066044
ORD-10130,2024-10-25,2024,India,Asia,Office Supplies,Printer Paper,Home Office,120,11487.5,9938.67,1548.83,0.13482780077735407
ORD-10131,2024-11-19,2024,India,Asia,Technology,Headphones,Home Office,98,58507.82,43098.1,15409.72,0.26337878869309056
ORD-10132,2024-12-22,2024,India,Asia,Furniture,Storage Cabinet,Consumer,75,26174.6,20678.01,5496.59,0.20999700723981102
ORD-10133,2024-01-13,2024,China,Asia,Technology,Smartphone,Corporate,67,52507.18,38614.51,13892.67,0.2645861354433747
ORD-10134,2024-02-25,2024,China,Asia,Office Supplies,Printer Paper,Corporate,26,2928.78,2434.42,494.36,0.16879285435311947
ORD-10135,2024-03-17,2024,China,Asia,Furniture,Office Chair,Home Office,84,35893.98,29558.53,6335.45,0.17650449024520745
ORD-10136,2024-04-18,2024,China,Asia,Furniture,Storage Cabinet,Home Office,71,35620.25,28694.71,6925.54,0.19442698860203286
ORD-10137,2024-05-21,2024,China,Asia,Technology,Monitor,Corporate,104,72741.32,55758.82,16982.5,0.23346433309299952
ORD-10138,2024-06-14,2024,China,Asia,Office Supplies,Pens,Home Office,35,3933.09,3415.33,517.76,0.13164093573592728
ORD-10139,2024-07-05,2024,China,Asia,Technology,Smartphone,Consumer,74,65553.26,45380.87,20172.39,0.30772516265405103
ORD-10140,2024-08-16,2024,China,Asia,Furniture,Bookshelf,Home Office,105,39925.92,29139.26,10786.66,0.2701668734692033
ORD-10141,2024-09-17,2024,China,Asia,Technology,Headphones,Home Office,33,21735.84,14332.09,7403.75,0.34062417799178735
ORD-10142,2024-10-11,2024,China,Asia,Office Supplies,Pens,Consumer,50,7281.63,5588.44,1693.19,0.23252948559666486
ORD-10143,2024-11-19,2024,China,Asia,Office Supplies,Binders,Consumer,51,7256.06,5583.56,1672.5,0.23049711071277051
ORD-10144,2024-12-18,2024,China,Asia,Office Supplies,Desk Organizer,Consumer,72,9272.0,7682.64,1589.36,0.17141487300316094
ORD-10145,2024-01-08,2024,Japan,Asia,Office Supplies,Desk Organizer,Corporate,56,6142.61,4621.13,1521.48,0.24769295575991138
ORD-10146,2024-02-16,2024,Japan,Asia,Office Supplies,Desk Organizer,Consumer,114,9797.74,8149.95,1647.8,0.16818115926805605
ORD-10147,2024-03-05,2024,Japan,Asia,Office Supplies,Desk Organizer,Corporate,99,10463.69,8284.71,2178.98,0.20824228016807272
ORD-10148,2024-04-04,2024,Japan,Asia,Furniture,Office Chair,Consumer,79,31397.32,24808.93,6588.39,0.20983936447176368
ORD-10149,2024-05-28,2024,Japan,Asia,Furniture,Office Chair,Home Office,73,16571.25,13467.47,3103.77,0.18729864991603373
ORD-10150,2024-06-20,2024,Japan,Asia,Office Supplies,Pens,Consumer,75,7884.86,6609.07,1275.79,0.161802733545209
ORD-10151,2024-07-28,2024,Japan,Asia,Office Supplies,Desk Organizer,Home Office,25,2719.16,2087.55,631.61,0.23228096038790716
ORD-10152,2024-08-28,2024,Japan,Asia,Office Supplies,Desk Organizer,Corporate,95,9678.71,7538.47,2140.24,0.22112821712012368
ORD-10153,2024-09-10,2024,Japan,Asia,Office Supplies,Printer Paper,Home Office,23,1767.25,1392.37,374.88,0.21212794892870998
ORD-10154,2024-10-04,2024,Japan,Asia,Technology,Laptop,Corporate,27,15730.34,10783.67,4946.67,0.31446689951948464
ORD-10155,2024-11-26,2024,Japan,Asia,Furniture,Desk,Home Office,53,20475.19,16881.4,3593.78,0.17551891624126562
ORD-10156,2024-12-14,2024,Japan,Asia,Technology,Monitor,Corporate,62,30197.91,22367.48,7830.43,0.25930369186207614
ORD-10157,2024-01-20,2024,Singapore,Asia,Office Supplies,Pens,Consumer,37,1770.19,1355.08,415.11,0.23450075183738245
ORD-10158,2024-02-09,2024,Singapore,Asia,Office Supplies,Pens,Corporate,89,4463.55,3636.28,827.27,0.18533798960259973
ORD-10159,2024-03-10,2024,Singapore,Asia,Furniture,Bookshelf,Home Office,16,4290.94,3321.92,969.02,0.22583039066303617
ORD-10160,2024-04-10,2024,Singapore,Asia,Office Supplies,Pens,Consumer,71,5611.02,4216.58,1394.44,0.2485182034262165
ORD-10161,2024-05-13,2024,Singapore,Asia,Office Supplies,Desk Organizer,Home Office,47,2887.97,2407.83,480.14,0.16625460046459764
ORD-10162,2024-06-23,2024,Singapore,Asia,Furniture,Office Chair,Consumer,63,14324.68,10901.41,3423.28,0.23897743162143747
ORD-10163,2024-07-22,2024,Singapore,Asia,Furniture,Office Chair,Home Office,65,12366.58,9424.43,2942.15,0.2379114820346839
ORD-10164,2024-08-10,2024,Singapore,Asia,Office Supplies,Printer Paper,Home Office,110,6917.04,5267.34,1649.7,0.23849863490724713
ORD-10165,2024-09-25,2024,Singapore,Asia,Technology,Monitor,Consumer,96,27871.74,20622.99,7248.75,0.26007521600523403
ORD-10166,2024-10-10,2024,Singapore,Asia,Office Supplies,Pens,Home Office,27,2093.11,1658.66,434.45,0.20756087306686283
ORD-10167,2024-11-10,2024,Singapore,Asia,Furniture,Office Chair,Home Office,61,15091.31,12362.56,2728.75,0.18081600508954626
ORD-10168,2024-12-12,2024,Singapore,Asia,Furniture,Storage Cabinet,Consumer,40,6899.74,5280.17,1619.57,0.23472893107813056
ORD-10169,2024-01-26,2024,Australia,Oceania,Office Supplies,Binders,Consumer,47,4576.96,3463.38,1113.59,0.2433025379316638
ORD-10170,2024-02-08,2024,Australia,Oceania,Furniture,Bookshelf,Consumer,74,25545.64,20771.39,4774.25,0.18689084180070595
ORD-10171,2024-03-09,2024,Australia,Oceania,Office Supplies,Desk Organizer,Home Office,61,3679.13,3026.64,652.49,0.17734894723944536
ORD-10172,2024-04-19,2024,Australia,Oceania,Office Supplies,Printer Paper,Corporate,62,5364.69,4234.45,1130.24,0.21068089568212162
ORD-10173,2024-05-18,2024,Australia,Oceania,Furniture,Bookshelf,Consumer,101,23379.1,19334.44,4044.65,0.17300295795757792
ORD-10174,2024-06-23,2024,Australia,Oceania,Furniture,Desk,Home Office,23,6764.83,5237.93,1526.9,0.22571210435872172
ORD-10175,2024-07-16,2024,Australia,Oceania,Furniture,Storage Cabinet,Consumer,32,6466.37,5338.21,1128.16,0.17446545538696465
ORD-10176,2024-08-22,2024,Australia,Oceania,Technology,Laptop,Consumer,83,28982.55,20738.83,8243.72,0.28443725082666704
ORD-10177,2024-09-21,2024,Australia,Oceania,Office Supplies,Desk Organizer,Home Office,110,9784.17,7472.66,2311.51,0.23624965406794948
ORD-10178,2024-10-23,2024,Australia,Oceania,Technology,Headphones,Home Office,67,36959.97,27218.48,9741.5,0.2635688168102946
ORD-10179,2024-11-04,2024,Australia,Oceania,Furniture,Desk,Corporate,71,24373.35,17727.86,6645.49,0.2726540231967145
ORD-10180,2024-12-07,2024,Australia,Oceania,Office Supplies,Binders,Home Office,97,7021.86,5773.54,1248.32,0.1777767571293247
ORD-10181,2024-01-01,2024,UAE,Middle East,Technology,Headphones,Consumer,99,32828.95,22759.03,10069.93,0.30673915022356446
ORD-10182,2024-02-27,2024,UAE,Middle East,Technology,Monitor,Consumer,31,14321.59,10674.96,3646.63,0.25462466901714514
ORD-10183,2024-03-25,2024,UAE,Middle East,Office Supplies,Pens,Home Office,42,3509.25,2954.93,554.32,0.1579598414855238
ORD-10184,2024-04-26,2024,UAE,Middle East,Technology,Laptop,Corporate,33,16746.55,11809.23,4937.32,0.29482585482357815
ORD-10185,2024-05-26,2024,UAE,Middle East,Technology,Laptop,Home Office,18,5641.07,4101.12,1539.95,0.27298907350598384
ORD-10186,2024-06-14,2024,UAE,Middle East,Technology,Monitor,Consumer,37,12716.36,9598.17,3118.19,0.24521102524553368
ORD-10187,2024-07-17,2024,UAE,Middle East,Office Supplies,Printer Paper,Home Office,23,1608.0,1248.83,359.17,0.22336204471770424
ORD-10188,2024-08-24,2024,UAE,Middle East,Office Supplies,Printer Paper,Corporate,79,4708.22,3748.63,959.6,0.20381282035413242
ORD-10189,2024-09-16,2024,UAE,Middle East,Office Supplies,Binders,Corporate,97,8697.8,7503.6,1194.2,0.1372990488993406
ORD-10190,2024-10-03,2024,UAE,Middle East,Furniture,Storage Cabinet,Home Office,28,6841.34,4931.49,1909.86,0.2791640994938276
ORD-10191,2024-11-21,2024,UAE,Middle East,Technology,Monitor,Home Office,33,9847.09,7257.29,2589.8,0.26300191994695443
ORD-10192,2024-12-20,2024,UAE,Middle East,Office Supplies,Binders,Corporate,91,6562.24,5351.86,1210.38,0.18444585010905662
ORD-10193,2024-01-25,2024,Saudi Arabia,Middle East,Furniture,Office Chair,Home Office,29,6849.38,5149.98,1699.4,0.24810999978575665
ORD-10194,2024-02-27,2024,Saudi Arabia,Middle East,Office Supplies,Pens,Corporate,72,4987.74,4091.65,896.09,0.1796576285412296
ORD-10195,2024-03-22,2024,Saudi Arabia,Middle East,Furniture,Storage Cabinet,Corporate,108,16316.64,12707.21,3609.43,0.2212116807513149
ORD-10196,2024-04-27,2024,Saudi Arabia,Middle East,Furniture,Bookshelf,Consumer,102,24895.11,20462.38,4432.72,0.17805599697639773
ORD-10197,2024-05-05,2024,Saudi Arabia,Middle East,Technology,Laptop,Corporate,27,9771.25,7086.92,2684.34,0.27471762312510845
ORD-10198,2024-06-14,2024,Saudi Arabia,Middle East,Office Supplies,Printer Paper,Home Office,86,5048.07,3985.95,1062.12,0.21040159176787543
ORD-10199,2024-07-12,2024,Saudi Arabia,Middle East,Furniture,Storage Cabinet,Home Office,21,5232.58,3966.04,1266.54,0.24204921094696122
ORD-10200,2024-08-12,2024,Saudi Arabia,Middle East,Technology,Smartphone,Consumer,99,31114.56,20794.7,10319.86,0.3316729817761943
ORD-10201,2024-09-14,2024,Saudi Arabia,Middle East,Office Supplies,Binders,Consumer,112,5546.87,4675.24,871.63,0.15713909131934167
ORD-10202,2024-10-06,2024,Saudi Arabia,Middle East,Office Supplies,Printer Paper,Home Office,99,6670.08,5588.9,1081.18,0.16209372701849328
ORD-10203,2024-11-19,2024,Saudi Arabia,Middle East,Furniture,Bookshelf,Corporate,59,8324.06,6040.08,2283.99,0.27438352478437256
ORD-10204,2024-12-03,2024,Saudi Arabia,Middle East,Office Supplies,Desk Organizer,Consumer,33,2128.74,1603.76,524.98,0.24661723825096232
ORD-10205,2024-01-10,2024,South Africa,Africa,Office Supplies,Pens,Corporate,68,3388.55,3019.58,368.98,0.10888911310141071
ORD-10206,2024-02-06,2024,South Africa,Africa,Office Supplies,Binders,Home Office,91,3553.32,3211.09,342.23,0.09631305917106263
